"username_1","username_2","timestamp_s"
"MetinHakverdi","Nico",1630267154
"JensZSPD","Nico",1630264243
"hschmidt","Nico",1630263176
"MartinRosemann","Nico",1630264131
"CarstenOvens","Nico",1630263327
"CarstenOvens","Nico",1630263091
"JensZSPD","Nico",1630265344
"Heikeschmidt","bexxi",1630262557
"Volker_Beck","Twitter",1630260222
"Volker_Beck","Twitter",1630262650
"Volker_Beck","Twitter",1630263127
"EckGre5","Twitter",1630260381
"WolfMalca","Twitter",1630263025
"ZDF","pkerchner",1630263067
"dailybug","Christiane",1630254753
"DSM_Nordkirche","Reuters",1630270778
"airbrushdesign","Facebook",1630255528
"airbrushdesign","Facebook",1630255367
"rockToamna","alf_frommer",1630262139
"CarstenOvens","hschmidt",1630263327
"MartinRosemann","hschmidt",1630263997
"Dericik76","hschmidt",1630267655
"BarisOenes","hschmidt",1630265435
"MucksBueker","derspiegel",1630265116
"HansJosefBracht","derspiegel",1630264766
"HL1315185597","derspiegel",1630255721
"JM_Luczak","derspiegel",1630264603
"jochens85274100","derspiegel",1630270528
"vmedick","derspiegel",1630261497
"jochens85274100","derspiegel",1630270159
"ingeblask","derspiegel",1630267799
"borispistorius","derspiegel",1630270946
"W_Schmidt_","derspiegel",1630254303
"StefanZimkeit","derspiegel",1630268272
"Barbara67581170","derspiegel",1630259811
"Dealman88907136","derspiegel",1630266541
"tmodc","derspiegel",1630262748
"TomSchreiberMdA","derspiegel",1630268685
"mathieuvonrohr","derspiegel",1630255433
"KatjaMast","derspiegel",1630266172
"DagmarFreitag13","derspiegel",1630261646
"momjovi89","derspiegel",1630273604
"anonyme_melone","derspiegel",1630257063
"derspiegel","derspiegel",1630253437
"derspiegel","derspiegel",1630255536
"MartinHaller","derspiegel",1630266188
"Marcruland","derspiegel",1630269152
"Fcm_BeckerSPD","derspiegel",1630266189
"BoehningB","derspiegel",1630266217
"sarfeld","derspiegel",1630264474
"derspiegel","derspiegel",1630254508
"m_rinderspacher","derspiegel",1630266251
"Beneoster","derspiegel",1630266468
"Alex_Schweitzer","derspiegel",1630266199
"IbrahimYetim","derspiegel",1630267898
"Geissenpeter191","derspiegel",1630264325
"Henry53246076","derspiegel",1630271503
"MartinRosemann","derspiegel",1630262953
"NancyFaeser","derspiegel",1630266226
"Geissenpeter191","derspiegel",1630265266
"DirkWieseSPD","derspiegel",1630268007
"larsklingbeil","derspiegel",1630266129
"MartinRosemann","derspiegel",1630269870
"hubertus_heil","derspiegel",1630266469
"Toens_NRW04","derspiegel",1630267218
"austinbkoeller","NTVNEWS",1630278210
"pianoledge","NTVNEWS",1630274550
"bl4bla_","retinafunk",1630257753
"Max42878292","retinafunk",1630263585
"mobsisan","retinafunk",1630259442
"focusonline","focusonline",1630275076
"FlorianReiter_","focusonline",1630275063
"dpa","zeitonline",1630260955
"L_Petersdotter","zeitonline",1630254430
"MatthiasHauer","zeitonline",1630277446
"ebner_sha","flueke",1630267436
"hannesleitlein","flueke",1630269261
"JohannesNormann","tagesschau",1630273962
"BerlinDentis1","tagesschau",1630257443
"katarinabarley","tagesschau",1630260579
"HolgerEwald1","tagesschau",1630257506
"correctiv_org","tagesschau",1630261385
"filizgreen","handelsblatt",1630266143
"handelsblatt","handelsblatt",1630264561
"handelsblatt","handelsblatt",1630264442
"Thomas_Bareiss","handelsblatt",1630271829
"StefanZimkeit","handelsblatt",1630273000
"KirstenTackmann","handelsblatt",1630264006
"DrAndreasNick","handelsblatt",1630272737
"ThomasSigmund","handelsblatt",1630265827
"StefRemlinger","handelsblatt",1630266233
"StefWenzel","handelsblatt",1630260967
"Schwarz_MdB","handelsblatt",1630273741
"Otto_Fricke","handelsblatt",1630262161
"JensZSPD","handelsblatt",1630273055
"Krullemuck","handelsblatt",1630259973
"Otto_Fricke","handelsblatt",1630255209
"HansJosefBracht","handelsblatt",1630271758
"peter_simone","handelsblatt",1630266095
"dieLinke","handelsblatt",1630263588
"dneuerer","handelsblatt",1630264516
"dneuerer","handelsblatt",1630264399
"peter_simone","handelsblatt",1630270379
"BineB","handelsblatt",1630275415
"handelsblatt","handelsblatt",1630265881
"k_ronneburg","handelsblatt",1630264146
"L_Petersdotter","rainersax",1630268538
"L_Petersdotter","rainersax",1630268759
"an_clauss","saschalobo",1630260342
"HansJosefBracht","saschalobo",1630264766
"JM_Luczak","saschalobo",1630264603
"derspiegel","saschalobo",1630254508
"derspiegel","saschalobo",1630261385
"sarfeld","saschalobo",1630264474
"walli5","saschalobo",1630264058
"derspiegel","saschalobo",1630260511
"SteinekeCDU","saschalobo",1630264162
"petertauber","saschalobo",1630264848
"koschyk","saschalobo",1630267262
"JensZSPD","ReichelS",1630267621
"carstensieling","ReichelS",1630268579
"UlrichCommercon","ReichelS",1630267359
"g_reichenbach","mathiasrichel",1630264725
"Dennis_Maelzer","mathiasrichel",1630272048
"NataschaKohnen","mathiasrichel",1630264087
"martinhabersaat","mathiasrichel",1630271822
"BoehningB","mathiasrichel",1630270119
"MartinRosemann","mathiasrichel",1630262591
"FlorianvonBrunn","mathiasrichel",1630271113
"L_Petersdotter","mathiasrichel",1630262814
"philipp_fuer_DU","mathiasrichel",1630266837
"StefanZimkeit","mathiasrichel",1630268484
"JensZSPD","mathiasrichel",1630264206
"MartinRosemann","mathiasrichel",1630265915
"SteffiLemke","mathiasrichel",1630262752
"FlorianvonBrunn","mathiasrichel",1630263142
"RobertSteuckers","TheEconomist",1630267595
"ayakibrahim","dwnews",1630266682
"dwnews","dwnews",1630268137
"moesl_roland","maltewelding",1630267149
"AlexandraGeese","anondiver",1630263149
"c_vogt","rtl",1630266803
"gerhardmerz","gehensieweiter",1630264890
"gerhardmerz","gehensieweiter",1630265380
"martinhabersaat","tobybaier",1630269306
"SebLechner","spd",1630265386
"SebLechner","spd",1630262639
"KazunguHass","spd",1630266795
"ChristianHirte","spd",1630267244
"a_watch","spd",1630260838
"HeyJennyLaube","spd",1630253872
"LieblingXhain","spd",1630269636
"till_steffen","themroc",1630263201
"AnniKlose","scholz",1630263690
"g_reichenbach","scholz",1630264628
"DoroBaer","Konni",1630262715
"SteffiLemke","Konni",1630266188
"welt","welt",1630257283
"OlafGersemann","welt",1630263783
"SturmDaniel","welt",1630270340
"welt","welt",1630260887
"welt","welt",1630277700
"welt","welt",1630268693
"welt","welt",1630254881
"welt","welt",1630259535
"welt","welt",1630270795
"welt","welt",1630258334
"HansJosefBracht","welt",1630257604
"welt","welt",1630263889
"welt","welt",1630270345
"welt","welt",1630255181
"Freddy2805","welt",1630259489
"AutorToto","welt",1630255081
"Thomas_Bareiss","welt",1630256614
"hildebentele","welt",1630271871
"hackensberger","welt",1630254788
"hackensberger","welt",1630260790
"MobyNikk","welt",1630257176
"MobyNikk","welt",1630277623
"ICONISTbyWELT","welt",1630258200
"ICONISTbyWELT","welt",1630268580
"MATmaschke","BILD",1630260191
"Hallaschka_HH","BILD",1630275100
"salomon_alex","BILD",1630269273
"RubenRupp","BILD",1630275749
"Hallaschka_HH","BILD",1630275088
"airbrushdesign","BILD",1630270356
"RubenRupp","BILD",1630275942
"Nixdorf4","BILD",1630266971
"HNeumannMEP","BILD",1630254333
"MATmaschke","BILD",1630260785
"Raga123456890","BILD",1630269149
"MATmaschke","BILD",1630260443
"m_aus_s","BILD",1630254668
"airbrushdesign","BILD",1630269667
"mirjana_2011","BILD",1630270206
"airbrushdesign","BILD",1630270504
"Anemalon19","BILD",1630279677
"Taurus322","BILD",1630273573
"airbrushdesign","BILD",1630270161
"mjoukov","sixtus",1630274651
"RenateKuenast","sixtus",1630271607
"BenniAps","alexkupsch",1630273648
"BenniAps","alexkupsch",1630273754
"BenniAps","alexkupsch",1630272852
"BenniAps","alexkupsch",1630273569
"KarlFreller","YouTube",1630254952
"ComedianFactory","YouTube",1630281093
"ComedianFactory","YouTube",1630280245
"DSM_Nordkirche","YouTube",1630254489
"tinastipps","YouTube",1630263589
"GKlamt54","YouTube",1630258395
"GKlamt54","YouTube",1630254860
"m_aus_s","YouTube",1630253979
"RasmusAndresen","journelle",1630265280
"CarstenOvens","Tesla",1630263298
"derspiegel","an_clauss",1630254508
"derspiegel","an_clauss",1630260511
"derspiegel","an_clauss",1630261385
"lenazagst","marthadear",1630265996
"LeeorEnglander","frankkompakt",1630259698
"sschyvonne","frankkompakt",1630259087
"DJanecek","ChrisStoecker",1630269638
"an_clauss","ChrisStoecker",1630260342
"derspiegel","ChrisStoecker",1630254508
"derspiegel","ChrisStoecker",1630260511
"netzpolitik","ChrisStoecker",1630270555
"derspiegel","ChrisStoecker",1630261385
"platz13","hhf",1630260984
"WolfMalca","Steinhoefel",1630263025
"EckGre5","Steinhoefel",1630260381
"Volker_Beck","Steinhoefel",1630260222
"Volker_Beck","Steinhoefel",1630262650
"Volker_Beck","Steinhoefel",1630263127
"eulemagazin","wystrach",1630261698
"DrKissler","NZZ",1630272941
"SaskiaLudwigCDU","NZZ",1630273881
"MarcFelixSerrao","NZZ",1630274919
"Hallaschka_HH","NZZ",1630275079
"ingeblask","nrwspd",1630266723
"ingeblask","nrwspd",1630269932
"handelsblatt","smatthes",1630266901
"handelsblatt","smatthes",1630266916
"handelsblatt","smatthes",1630266911
"handelsblatt","smatthes",1630258142
"handelsblatt","smatthes",1630266921
"ArneBab","theNeo42",1630268213
"KatharinaKoenig","theNeo42",1630267879
"ArneBab","theNeo42",1630269330
"GruenSprecher","Die_Gruenen",1630261074
"a_watch","Die_Gruenen",1630267233
"a_watch","Die_Gruenen",1630266955
"retrostyle3000","Die_Gruenen",1630271764
"peter_simone","Die_Gruenen",1630262455
"peter_simone","Die_Gruenen",1630261510
"GoeringEckardt","Die_Gruenen",1630265626
"SebLechner","Die_Gruenen",1630265386
"jcoetjen","Die_Gruenen",1630265343
"till_steffen","Die_Gruenen",1630266779
"till_steffen","Die_Gruenen",1630268649
"till_steffen","Die_Gruenen",1630268480
"till_steffen","Die_Gruenen",1630263305
"till_steffen","Die_Gruenen",1630263961
"till_steffen","Die_Gruenen",1630262224
"Ralf_Stegner","Die_Gruenen",1630262990
"till_steffen","Die_Gruenen",1630261383
"till_steffen","Die_Gruenen",1630263470
"till_steffen","Die_Gruenen",1630264038
"AchimStrehlke","Die_Gruenen",1630271301
"till_steffen","Die_Gruenen",1630265536
"till_steffen","Die_Gruenen",1630261273
"till_steffen","Die_Gruenen",1630265027
"till_steffen","Die_Gruenen",1630263838
"BriHasselmann","Die_Gruenen",1630266821
"BriHasselmann","Die_Gruenen",1630262828
"BriHasselmann","Die_Gruenen",1630262816
"FlorianPost","Die_Gruenen",1630266257
"AfD","Die_Gruenen",1630258894
"Stefan_Birkner","Die_Gruenen",1630263949
"MFeldmayer","Die_Gruenen",1630265427
"qadRick","Die_Gruenen",1630261936
"MFeldmayer","Die_Gruenen",1630262749
"KrahMax","Die_Gruenen",1630268689
"MFeldmayer","Die_Gruenen",1630261756
"AnjaSiegesmund","Die_Gruenen",1630269494
"TerryReintke","Die_Gruenen",1630269557
"bastianfleig","Die_Gruenen",1630263818
"GruenMeyer","Die_Gruenen",1630270452
"svenlehmann","Die_Gruenen",1630261146
"SilkeGebel","Die_Gruenen",1630271207
"SilkeGebel","Die_Gruenen",1630261997
"salomon_alex","Die_Gruenen",1630272600
"julia_verlinden","Die_Gruenen",1630268081
"salomon_alex","Die_Gruenen",1630271981
"julia_verlinden","Die_Gruenen",1630268512
"salomon_alex","Die_Gruenen",1630271937
"salomon_alex","Die_Gruenen",1630271910
"salomon_alex","Die_Gruenen",1630271815
"salomon_alex","Die_Gruenen",1630271578
"anonykatz2210","Die_Gruenen",1630270456
"salomon_alex","Die_Gruenen",1630271535
"anonykatz2210","Die_Gruenen",1630269930
"anonykatz2210","Die_Gruenen",1630271325
"salomon_alex","Die_Gruenen",1630271161
"ulle_schauws","Die_Gruenen",1630268951
"salomon_alex","Die_Gruenen",1630271084
"anonykatz2210","Die_Gruenen",1630271710
"anonykatz2210","Die_Gruenen",1630271869
"anonykatz2210","Die_Gruenen",1630271258
"anonykatz2210","Die_Gruenen",1630272031
"DagmarHufnagel","Die_Gruenen",1630275040
"salomon_alex","Die_Gruenen",1630270144
"DagmarHufnagel","Die_Gruenen",1630275106
"g_reichenbach","Die_Gruenen",1630264595
"DagmarHufnagel","Die_Gruenen",1630274748
"EvaLettenbauer","Die_Gruenen",1630261753
"christianduerr","Die_Gruenen",1630264650
"KonstantinNotz","Die_Gruenen",1630262452
"wibkegt","Die_Gruenen",1630271759
"NEUMEdIER","Die_Gruenen",1630270720
"K_SA","Die_Gruenen",1630262817
"K_SA","Die_Gruenen",1630261355
"IllyricumSoul","Die_Gruenen",1630269297
"MiKellner","Die_Gruenen",1630260611
"MiKellner","Die_Gruenen",1630259677
"HolgerEwald1","Die_Gruenen",1630260145
"SabineBangert","Die_Gruenen",1630269937
"heschaus","Die_Gruenen",1630267204
"JuttaPaulusRLP","Die_Gruenen",1630265655
"junomaerz","Die_Gruenen",1630276921
"andrebaumann","Die_Gruenen",1630268251
"ClaudiaMaicher","Die_Gruenen",1630268651
"JuttaPaulusRLP","Die_Gruenen",1630264531
"JuttaPaulusRLP","Die_Gruenen",1630271984
"KathaSchulze","Die_Gruenen",1630265515
"dunkelrotseher","Die_Gruenen",1630266351
"JuttaPaulusRLP","Die_Gruenen",1630263685
"cem_oezdemir","Die_Gruenen",1630275862
"Volker_Beck","Die_Gruenen",1630263626
"KlausWeckbach","Die_Gruenen",1630267051
"sis_teract","Die_Gruenen",1630270524
"CLindberg_HH","Die_Gruenen",1630263851
"bene_lux","Die_Gruenen",1630263470
"Volker_Beck","Die_Gruenen",1630260222
"norwichruesse","Die_Gruenen",1630273464
"beerenstark","Die_Gruenen",1630265588
"rike_tweet","Die_Gruenen",1630276785
"Volker_Beck","Die_Gruenen",1630263127
"Engstfelder","Die_Gruenen",1630271520
"StriegSe","Die_Gruenen",1630261343
"moesl_roland","Die_Gruenen",1630264037
"SteveMi42686670","Die_Gruenen",1630259059
"CDU","Die_Gruenen",1630264800
"Volker_Beck","Die_Gruenen",1630262650
"TKinderschutz","Die_Gruenen",1630265019
"bueti","Die_Gruenen",1630268960
"Nicole21249915","Die_Gruenen",1630263066
"bueti","Die_Gruenen",1630268996
"KaiGehring","Die_Gruenen",1630261058
"KaiGehring","Die_Gruenen",1630266521
"KaiGehring","Die_Gruenen",1630265431
"KaiGehring","Die_Gruenen",1630265442
"KaiGehring","Die_Gruenen",1630268565
"tobiaslindner","Die_Gruenen",1630268860
"SinaDemirhan","Die_Gruenen",1630263496
"Oliver_Krischer","Die_Gruenen",1630267797
"Oliver_Krischer","Die_Gruenen",1630269617
"Marc_Urbatsch","Die_Gruenen",1630260646
"HansJosefBracht","Die_Gruenen",1630265070
"topac_fatos","Die_Gruenen",1630265393
"topac_fatos","Die_Gruenen",1630270937
"EckGre5","Die_Gruenen",1630260381
"jenny_jasberg","Die_Gruenen",1630263750
"platz13","Die_Gruenen",1630267792
"platz13","Die_Gruenen",1630269509
"platz13","Die_Gruenen",1630263608
"platz13","Die_Gruenen",1630261402
"platz13","Die_Gruenen",1630262669
"platz13","Die_Gruenen",1630262673
"fegebanks","Die_Gruenen",1630270673
"platz13","Die_Gruenen",1630262505
"stefanziller","Die_Gruenen",1630261002
"stefanziller","Die_Gruenen",1630272397
"stefanziller","Die_Gruenen",1630271150
"stefanziller","Die_Gruenen",1630260827
"stefanziller","Die_Gruenen",1630271050
"stefanziller","Die_Gruenen",1630272307
"matthi_bolte","Die_Gruenen",1630271086
"stefanziller","Die_Gruenen",1630272369
"JBrandenburgFDP","Die_Gruenen",1630265514
"GrueneBeate","Die_Gruenen",1630274679
"ebner_sha","Die_Gruenen",1630269089
"ebner_sha","Die_Gruenen",1630265791
"ebner_sha","Die_Gruenen",1630265795
"ebner_sha","Die_Gruenen",1630265820
"carina_konrad","Die_Gruenen",1630265584
"mjoukov","Die_Gruenen",1630269345
"ebner_sha","Die_Gruenen",1630266043
"KayaKinkel","Die_Gruenen",1630268199
